sep=,
id,screen_id,image_path,instruction,tags,image_width,image_height,bbox_px,pred_px,pred_py,hit,parse_ok,raw_response,prompt_tokens,completion_tokens,total_tokens,steps
g_home_search_box,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Where do I type a product query on the storefront?,"search,home",1280,720,"[962, 71, 1212, 103]",965,82,True,True,"(965, 82)",1313,10,1323,1
g_home_search_submit,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Submit the header search after entering keywords.,"search,home",1280,720,"[1180, 71, 1202, 103]",1195,86,True,True,"(1195, 86)",1310,11,1321,1
g_home_advanced_search,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Open the page with extra search filters beyond the header box.,"search,home",1280,720,"[962, 108, 1074, 127]",1023,116,True,True,"(1023, 116)",1314,12,1326,1
g_home_sign_in,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,I already have an account — take me to the login page.,"auth,home",1280,720,"[861, 10, 905, 29]",865,17,True,True,"(865, 17)",1315,10,1325,1
g_home_create_account,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Register a new customer account from the header.,"auth,home",1280,720,"[1141, 10, 1260, 29]",1196,15,True,True,"(1196, 15)",1311,11,1322,1
g_home_wishlist,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Open my saved wishlist from the top of the page.,"wishlist,home",1280,720,"[765, 10, 846, 29]",810,16,True,True,"(810, 16)",1313,10,1323,1
g_home_cart,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Open the shopping bag / cart icon in the header.,"cart,home",1280,720,"[1225, 71, 1260, 104]",1245,82,True,True,"(1245, 82)",1313,11,1324,1
g_home_electronics,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Browse the Electronics department from the main menu.,"browse,home",1280,720,"[382, 181, 490, 234]",425,156,False,True,"(425, 156)",1311,11,1322,1
g_home_video_games,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Go to the Video Games category in the navigation bar.,"browse,home",1280,720,"[721, 181, 843, 234]",765,154,False,True,"(765, 154)",1313,11,1324,1
g_product_add_to_cart,product,C:/Proga/GUI2Model/data/target_app/eval/screenshots/product.png,Put this product into the cart.,"cart,product",1280,720,"[831, 516, 969, 568]",899,546,True,True,"(899, 546)",1309,11,1320,1
g_product_qty,product,C:/Proga/GUI2Model/data/target_app/eval/screenshots/product.png,Change how many units of this item I want to buy.,"product,qty",1280,720,"[764, 516, 816, 568]",768,542,True,True,"(768, 542)",1314,11,1325,1
g_product_wishlist,product,C:/Proga/GUI2Model/data/target_app/eval/screenshots/product.png,Save this item for later without buying it yet.,"wishlist,product",1280,720,"[764, 608, 870, 632]",806,625,True,True,"(806, 625)",1312,11,1323,1
g_product_compare,product,C:/Proga/GUI2Model/data/target_app/eval/screenshots/product.png,Add this product to the comparison list.,"product,compare",1280,720,"[874, 608, 980, 632]",916,625,True,True,"(916, 625)",1310,11,1321,1
g_login_email,login,C:/Proga/GUI2Model/data/target_app/eval/screenshots/login.png,Field where I enter my account email to sign in.,"auth,login",1280,720,"[176, 446, 625, 478]",176,459,True,True,"(176, 459)",1313,11,1324,1
g_login_password,login,C:/Proga/GUI2Model/data/target_app/eval/screenshots/login.png,Password input on the customer login form.,"auth,login",1280,720,"[176, 507, 625, 539]",176,522,True,True,"(176, 522)",1310,11,1321,1
g_login_forgot,login,C:/Proga/GUI2Model/data/target_app/eval/screenshots/login.png,I forgot my password — open the reset flow.,"auth,login",1280,720,"[290, 623, 438, 643]",356,639,True,True,"(356, 639)",1312,11,1323,1
g_contact_name,contact,C:/Proga/GUI2Model/data/target_app/eval/screenshots/contact.png,Where do I type my name on the Contact Us form?,"contact,form",1280,720,"[180, 441, 640, 473]",176,456,False,True,"(176, 456)",1314,11,1325,1
g_contact_phone,contact,C:/Proga/GUI2Model/data/target_app/eval/screenshots/contact.png,Phone number field on the contact form.,"contact,form",1280,720,"[180, 563, 640, 595]",165,582,False,True,"(165, 582)",1310,11,1321,1
g_adv_product_name,search_advanced,C:/Proga/GUI2Model/data/target_app/eval/screenshots/search_advanced.png,"On Advanced Search, filter by product title.","search,advanced",1280,720,"[180, 430, 640, 462]",179,446,False,True,"(179, 446)",1311,11,1322,1
g_adv_sku,search_advanced,C:/Proga/GUI2Model/data/target_app/eval/screenshots/search_advanced.png,Enter a SKU on the advanced search form.,"search,advanced",1280,720,"[180, 491, 640, 523]",165,509,False,True,"(165, 509)",1311,11,1322,1
g_cart_checkout,cart_with_item,C:/Proga/GUI2Model/data/target_app/eval/screenshots/cart_with_item.png,"From the cart page, continue to checkout.","cart,checkout",1280,720,"[990, 612, 1245, 664]",1116,645,True,True,"(1116, 645)",1311,12,1323,1
g_cart_remove,cart_with_item,C:/Proga/GUI2Model/data/target_app/eval/screenshots/cart_with_item.png,Delete this line item from the shopping cart.,cart,1280,720,"[103, 602, 227, 634]",149,625,True,True,"(149, 625)",1311,11,1322,1
g_cart_continue_shopping,cart_with_item,C:/Proga/GUI2Model/data/target_app/eval/screenshots/cart_with_item.png,Leave the cart and keep browsing the store.,cart,1280,720,"[20, 675, 205, 707]",106,695,True,True,"(106, 695)",1311,11,1322,1
g_minicart_view_cart,minicart_open,C:/Proga/GUI2Model/data/target_app/eval/screenshots/minicart_open.png,"In the mini-cart dropdown, open the full cart page (not checkout).","cart,minicart",1280,720,"[1021, 419, 1139, 438]",1076,430,True,True,"(1076, 430)",1317,12,1329,1
g_minicart_checkout,minicart_open,C:/Proga/GUI2Model/data/target_app/eval/screenshots/minicart_open.png,"From the open mini-cart, go straight to checkout.","cart,minicart,checkout",1280,720,"[916, 195, 1244, 247]",1056,220,True,True,"(1056, 220)",1313,12,1325,1
